strategy,arm,slice,metric,n_seeds,n_bootstraps_total,mean_of_points,std_across_seeds,pooled_mean,pooled_ci_lo,pooled_ci_hi,pooled_ci_half
drift_anchored,adversarial_b2p,dp_probe,precision_benign,3,6000,0.9815029907667645,0.0017223577811436718,0.9815644668831026,0.9643811154598826,0.9952830188679245,0.015450951704020943
drift_anchored,adversarial_b2p,dp_probe,accuracy,3,6000,0.20785351177508038,0.027931697748743316,0.20789612511671332,0.18036103330220976,0.24370136943666348,0.03167016806722686
drift_anchored,adversarial_b2p,dp_probe,auc,3,6000,0.8118684225827083,0.014790404984751381,0.8119028184778184,0.7861327298477919,0.834863793901061,0.02436553202663455
drift_anchored,adversarial_p2b,pp_test,f1_weighted,3,6000,0.8202003175433052,0.01452320944447295,0.8200566231628313,0.7845313826516651,0.8505458355209489,0.03300722643464188
drift_anchored,adversarial_p2b,pp_test,recall_phish,3,6000,0.7002141327623127,0.03538053884766231,0.700277301927195,0.6338329764453962,0.7665952890792291,0.06638115631691649
drift_anchored,adversarial_p2b,pp_test,recall_benign,3,6000,0.9406952965235172,0.010821068756910364,0.9404413769597819,0.9120654396728016,0.9652351738241309,0.026584867075664653
drift_anchored,adversarial_p2b,pp_test,precision_phish,3,6000,0.9188483290032576,0.010618721281927332,0.9186716241592221,0.8863636363636364,0.9491017964071856,0.03136908002177463
drift_anchored,adversarial_p2b,pp_test,precision_benign,3,6000,0.7671144623904204,0.019628370945055016,0.7673061207639784,0.7288676236044657,0.8059964726631393,0.03856442452933684
drift_anchored,adversarial_p2b,pp_test,accuracy,3,6000,0.8232217573221757,0.013354754534313465,0.8231227336122734,0.7897489539748954,0.852510460251046,0.03138075313807531
drift_anchored,adversarial_p2b,pp_test,auc,3,6000,0.9227399651724083,0.008578531668451808,0.9226494265708542,0.8985995980084338,0.9423376378835451,0.021869019937555634
drift_anchored,adversarial_p2b,kp_test,f1_weighted,3,6000,0.9802442557602976,0.0006345672356837546,0.9802452950035098,0.9734053396000604,0.9867009621186672,0.0066478112593034155
drift_anchored,adversarial_p2b,kp_test,recall_phish,3,6000,0.9744224422442245,0.001890501524321718,0.9743638613861385,0.9628712871287128,0.9851485148514851,0.011138613861386149
drift_anchored,adversarial_p2b,kp_test,recall_benign,3,6000,0.9849699398797594,0.002651053417900415,0.9850202070808284,0.9759519038076152,0.9929859719438878,0.008517034068136309
drift_anchored,adversarial_p2b,kp_test,precision_phish,3,6000,0.9813155590180765,0.0031929815404134476,0.9813977797284131,0.970074812967581,0.9911504424778761,0.010537814755147534
drift_anchored,adversarial_p2b,kp_test,precision_benign,3,6000,0.979412796028822,0.0014390149368711809,0.9793868039546897,0.9703557312252964,0.9878665318503539,0.00875540031252875
drift_anchored,adversarial_p2b,kp_test,accuracy,3,6000,0.9802510151347361,0.0006393690688700003,0.9802525839793282,0.973421926910299,0.9867109634551495,0.006644518272425237
drift_anchored,adversarial_p2b,kp_test,auc,3,6000,0.9981278563728117,0.0005134454770773725,0.9981239341306376,0.9963118997896784,0.9991802912756205,0.001434195742971045
drift_anchored,adversarial_p2b,dp_probe,f1_weighted,3,6000,0.5452823291479633,0.04671276173750049,0.5453271623370228,0.4826132791821142,0.5865379161194634,0.05196231846867458
drift_anchored,adversarial_p2b,dp_probe,recall_phish,3,6000,0.9554865424430642,0.012929602481156066,0.9555276052449966,0.9337474120082816,0.9782608695652174,0.022256728778467905
