run_id,strategy,oracle,cumulative_llm_calls,cumulative_labels,pp_f1w
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,450,449,0.6394370897161092
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,500,499,0.6600043483099175
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,550,549,0.6758980331758987
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,600,599,0.6984508955989036
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,650,649,0.7023600470314624
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,700,699,0.6990300111921175
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,750,748,0.7025926059356287
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,800,798,0.7232191007224006
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,850,847,0.728290062852207
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,900,897,0.7433102556383185
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,950,947,0.7638035783439464
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,1000,997,0.768804162305031
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,1050,1047,0.7806570990523584
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,1100,1097,0.7865270194198831
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,1150,1147,0.7911969535221411
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,1200,1197,0.7981599840833432
drift_anchored_llm_periodic_temporal_B,drift_anchored,llm,1250,1247,0.8004701367937311
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,50,50,0.6200450358859128
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,100,100,0.6219704413082003
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,150,149,0.6228588795672243
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,200,198,0.6298440265132934
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,250,248,0.6333125575918891
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,300,298,0.6257213997851111
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,350,347,0.6393102897921966
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,400,396,0.6330154785636539
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,450,445,0.6301621595480351
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,500,493,0.6535724936480046
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,550,543,0.6627492701196914
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,600,590,0.6686432315756552
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,650,637,0.6839378680171366
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,700,686,0.6911237367694816
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,750,727,0.6937686302161898
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,800,773,0.7029516285004126
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,850,820,0.7094422362989184
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,900,868,0.7270254131977419
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,950,908,0.7556177273789443
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,1000,954,0.7629160434790394
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,1050,1002,0.7655561117391069
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,1100,1046,0.7810891723005066
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,1150,1091,0.7871722347240705
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,1200,1136,0.7965254656092868
drift_anchored_llm_periodic_temporal_B_v4,drift_anchored,llm,1250,1179,0.798690088315571
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,50,49,0.6172196917808749
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,100,99,0.6219704413082003
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,150,148,0.621453387098813
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,200,194,0.6284525857250837
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,250,240,0.6306302746842963
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,300,289,0.6271430271492988
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,350,336,0.6365079114918638
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,400,384,0.6331758500615065
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,450,430,0.6303421232445541
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,500,478,0.6600010981415764
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,550,523,0.6690748338743386
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,600,567,0.6796715061425952
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,650,601,0.6965639186811076
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,700,641,0.6965639186811076
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,750,681,0.7234776454551834
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,800,724,0.7304301395283697
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,850,765,0.729464855541914
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,900,807,0.7480362714122522
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,950,842,0.7739516809806944
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,1000,884,0.7857023520778659
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,1050,919,0.7900315974904342
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,1100,950,0.7926838084973629
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,1150,978,0.7963085936520252
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,1200,1018,0.8032062224537861
drift_anchored_llm_periodic_temporal_B_v4_hard_filter,drift_anchored,llm,1250,1049,0.8020598400923616
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,50,50,0.624261529542696
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,100,100,0.6285457398980647
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,150,149,0.624261529542696
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,200,199,0.6362103085106234
drift_anchored_llm_periodic_temporal_B_v4_off,drift_anchored,llm,250,249,0.637910519252179
