strategy,arm_a,arm_b,slice,metric,n_paired_bootstraps,mean_diff_a_minus_b,p_two_sided,ci95_lo,ci95_hi
drift_anchored,adversarial_b2p,random_flip,dp_probe,recall_benign,6000,-0.12144926739926738,0.0,-0.1901098901098901,-0.03131868131868132
drift_anchored,adversarial_b2p,random_flip,dp_probe,precision_phish,6000,-0.018934098170645345,0.0,-0.029600735422737032,-0.003691860472282727
drift_anchored,adversarial_b2p,random_flip,dp_probe,precision_benign,6000,-0.0022224369525953914,0.738,-0.01772624213761364,0.009391452817251263
drift_anchored,adversarial_b2p,random_flip,dp_probe,accuracy,6000,-0.10183986928104574,0.0,-0.1599751011515717,-0.02583255524431996
drift_anchored,adversarial_b2p,random_flip,dp_probe,auc,6000,0.020669516712296214,0.0,0.010329603970908399,0.03295168039345042
drift_anchored,adversarial_p2b,clean_gt,pp_test,f1_weighted,6000,-0.05407268123076839,0.0,-0.0796814701350495,-0.026524639879184096
drift_anchored,adversarial_p2b,clean_gt,pp_test,recall_phish,6000,-0.142802284082798,0.0,-0.19486081370449682,-0.08351177730192727
drift_anchored,adversarial_p2b,clean_gt,pp_test,recall_benign,6000,0.03628016359918201,0.0,0.014314928425357865,0.05725971370143157
drift_anchored,adversarial_p2b,clean_gt,pp_test,precision_phish,6000,0.024893156200246888,0.017666666666666667,0.0038302945880407833,0.04644011306298745
drift_anchored,adversarial_p2b,clean_gt,pp_test,precision_benign,6000,-0.09071197061002806,0.0,-0.12183011832144225,-0.05499064384932354
drift_anchored,adversarial_p2b,clean_gt,pp_test,accuracy,6000,-0.051200488145048816,0.0,-0.07531380753138073,-0.025104602510460317
drift_anchored,adversarial_p2b,clean_gt,pp_test,auc,6000,-0.014198347222039767,0.0,-0.028174660518560303,-0.005429732487311959
drift_anchored,adversarial_p2b,clean_gt,kp_test,f1_weighted,6000,0.0012963502722764008,0.5076666666666667,-0.002223783761143838,0.005526513014085491
drift_anchored,adversarial_p2b,clean_gt,kp_test,recall_phish,6000,-0.0007805280528052813,0.6593333333333333,-0.006188118811881194,0.003712871287128716
drift_anchored,adversarial_p2b,clean_gt,kp_test,recall_benign,6000,0.002985637942551773,0.23733333333333334,-0.002004008016032066,0.01002004008016033
drift_anchored,adversarial_p2b,clean_gt,kp_test,precision_phish,6000,0.00361999466983022,0.305,-0.0024858585909259797,0.011951097221326182
drift_anchored,adversarial_p2b,clean_gt,kp_test,precision_benign,6000,-0.000551136240938278,0.965,-0.004934954515539292,0.0030302803341068878
drift_anchored,adversarial_p2b,clean_gt,kp_test,accuracy,6000,0.001300664451827243,0.405,-0.0022148394241418012,0.0055370985603543366
drift_anchored,adversarial_p2b,clean_gt,kp_test,auc,6000,0.000556676058387402,0.0003333333333333333,0.00018229528363644665,0.0011086529494631653
drift_anchored,adversarial_p2b,clean_gt,dp_probe,f1_weighted,6000,0.24575493691651668,0.0,0.19465550698400613,0.2969154297814673
drift_anchored,adversarial_p2b,clean_gt,dp_probe,recall_phish,6000,-0.029996204278812978,0.0,-0.0496894409937888,-0.011387163561076608
drift_anchored,adversarial_p2b,clean_gt,dp_probe,recall_benign,6000,0.2336820818070818,0.0,0.17545787545787545,0.2858974358974359
drift_anchored,adversarial_p2b,clean_gt,dp_probe,precision_phish,6000,0.04868985287566615,0.0,0.03359422117359984,0.06309502666576237
drift_anchored,adversarial_p2b,clean_gt,dp_probe,precision_benign,6000,-0.004225496252793854,0.36466666666666664,-0.013217867739247399,0.0037313705932845147
drift_anchored,adversarial_p2b,clean_gt,dp_probe,accuracy,6000,0.19404416951965975,0.0,0.14643635231870528,0.2379396202925615
drift_anchored,adversarial_p2b,clean_gt,dp_probe,auc,6000,-0.001365008677198117,0.8686666666666667,-0.012587005816819449,0.00761857836780177
drift_anchored,adversarial_p2b,llm,pp_test,f1_weighted,6000,0.03249234448240696,0.119,-0.005188234260290073,0.06470838377160947
drift_anchored,adversarial_p2b,llm,pp_test,recall_phish,6000,0.08901284796573875,0.008666666666666666,0.01498929336188437,0.1627408993576016
drift_anchored,adversarial_p2b,llm,pp_test,recall_benign,6000,-0.03010906612133606,0.0,-0.06134969325153383,-0.008179959100204526
drift_anchored,adversarial_p2b,llm,pp_test,precision_phish,6000,-0.033469298296320504,0.018666666666666668,-0.06984758551323579,-0.004319499374406665
drift_anchored,adversarial_p2b,llm,pp_test,precision_benign,6000,0.043759169066111554,0.03166666666666667,0.002826450194304761,0.08288433266128496
drift_anchored,adversarial_p2b,llm,pp_test,accuracy,6000,0.028081241283124125,0.14466666666666667,-0.006276150627615107,0.05753138075313802
drift_anchored,adversarial_p2b,llm,pp_test,auc,6000,-0.008043622069541328,0.5856666666666667,-0.02457939771328959,0.0057671339052296575
drift_anchored,adversarial_p2b,llm,kp_test,f1_weighted,6000,0.00022980924660714107,0.87,-0.0033296278908565456,0.0038950593896770647
drift_anchored,adversarial_p2b,llm,kp_test,recall_phish,6000,0.0012813531353135323,0.618,-0.006188118811881194,0.007425742574257432
drift_anchored,adversarial_p2b,llm,kp_test,recall_benign,6000,-0.0006257515030060131,0.44533333333333336,-0.004008016032064132,0.0030060120240481547
drift_anchored,adversarial_p2b,llm,kp_test,precision_phish,6000,-0.0007336842228362914,0.668,-0.005012818668827098,0.0037974982207899213
drift_anchored,adversarial_p2b,llm,kp_test,precision_benign,6000,0.0009956797738816393,0.73,-0.004886139418056512,0.005945566430686318
drift_anchored,adversarial_p2b,llm,kp_test,accuracy,6000,0.00022748246585455978,0.8533333333333334,-0.0033222591362126463,0.003875968992248069
drift_anchored,adversarial_p2b,llm,kp_test,auc,6000,0.0003805430580633204,0.05466666666666667,-6.200519851565223e-06,0.0009635917875354584
drift_anchored,adversarial_p2b,llm,dp_probe,f1_weighted,6000,-0.07417671475827602,0.0,-0.13738929521758045,-0.037217976817895876
drift_anchored,adversarial_p2b,llm,dp_probe,recall_phish,6000,0.024197895100069013,0.0,0.01345755693581785,0.037267080745341685
drift_anchored,adversarial_p2b,llm,dp_probe,recall_benign,6000,-0.08774804639804638,0.0,-0.15567765567765568,-0.04706959706959707
drift_anchored,adversarial_p2b,llm,dp_probe,precision_phish,6000,-0.02377216550641247,0.0,-0.04500514731288422,-0.01117821485415638
drift_anchored,adversarial_p2b,llm,dp_probe,precision_benign,6000,0.005245448995553437,0.034333333333333334,0.0003259251954854269,0.010203917507476377
drift_anchored,adversarial_p2b,llm,dp_probe,accuracy,6000,-0.07091957153231662,0.0,-0.12916277622159977,-0.0365701836290071
drift_anchored,adversarial_p2b,llm,dp_probe,auc,6000,-0.0071694355966095075,0.25266666666666665,-0.01576605502847747,0.0019669827239703077
drift_anchored,adversarial_p2b,random_flip,pp_test,f1_weighted,6000,0.0757426033590647,0.0,0.026099936170934358,0.12079601872726647
drift_anchored,adversarial_p2b,random_flip,pp_test,recall_phish,6000,0.055549250535331905,0.32,-0.027837259100642386,0.145610278372591
drift_anchored,adversarial_p2b,random_flip,pp_test,recall_benign,6000,0.0940477164280845,0.0,0.06134969325153372,0.13292433537832304
drift_anchored,adversarial_p2b,random_flip,pp_test,precision_phish,6000,0.11844683029757551,0.0,0.07964269777270329,0.1572691273765519
drift_anchored,adversarial_p2b,random_flip,pp_test,precision_benign,6000,0.05125110552591268,0.048666666666666664,0.00013936961283065853,0.09664281525555148
drift_anchored,adversarial_p2b,random_flip,pp_test,accuracy,6000,0.07524145746164575,0.0,0.028242677824267703,0.11610878661087864
drift_anchored,adversarial_p2b,random_flip,pp_test,auc,6000,0.17016381302283348,0.0,0.1096100287699846,0.27254437014752825
drift_anchored,adversarial_p2b,random_flip,kp_test,f1_weighted,6000,-0.0010882789460481014,0.8066666666666666,-0.007199311993207544,0.004424412785551643
drift_anchored,adversarial_p2b,random_flip,kp_test,recall_phish,6000,-0.001215552805280529,0.7353333333333333,-0.008663366336633671,0.004950495049504955
drift_anchored,adversarial_p2b,random_flip,kp_test,recall_benign,6000,-0.0009843019372077501,0.6126666666666667,-0.008016032064128265,0.008016032064128265
drift_anchored,adversarial_p2b,random_flip,kp_test,precision_phish,6000,-0.001216465107296019,0.699,-0.009976626168007591,0.009703888129440268
drift_anchored,adversarial_p2b,random_flip,kp_test,precision_benign,6000,-0.0009721010016045752,0.8286666666666667,-0.00689567853388226,0.003965773864221211
drift_anchored,adversarial_p2b,random_flip,kp_test,accuracy,6000,-0.0010877630121816167,0.7113333333333334,-0.007198228128460715,0.0044296788482834915
drift_anchored,adversarial_p2b,random_flip,kp_test,auc,6000,-0.00016535525671805649,0.7233333333333334,-0.0011049326375522945,0.000343539802377107
drift_anchored,adversarial_p2b,random_flip,dp_probe,f1_weighted,6000,0.2336779195529517,0.0,0.09478010657712378,0.38456855689283376
drift_anchored,adversarial_p2b,random_flip,dp_probe,recall_phish,6000,-0.02825966183574879,0.009333333333333334,-0.051759834368530044,-0.0031055900621117516
drift_anchored,adversarial_p2b,random_flip,dp_probe,recall_benign,6000,0.2202737484737485,0.0,0.09102564102564104,0.3467032967032967
drift_anchored,adversarial_p2b,random_flip,dp_probe,precision_phish,6000,0.045802773216942386,0.0,0.01891380388919281,0.06940576304997903
drift_anchored,adversarial_p2b,random_flip,dp_probe,precision_benign,6000,-0.0023227626088655976,0.6153333333333333,-0.010956539375139563,0.008477034332608144
drift_anchored,adversarial_p2b,random_flip,dp_probe,accuracy,6000,0.1829125168585953,0.0,0.07594148770619358,0.28835978835978837
drift_anchored,adversarial_p2b,random_flip,dp_probe,auc,6000,0.07984359976060286,0.0,0.06231412436769584,0.10091305864597802
drift_anchored,clean_gt,llm,pp_test,f1_weighted,6000,0.08656502571317536,0.0,0.05706205184251256,0.11620705891868009
drift_anchored,clean_gt,llm,pp_test,recall_phish,6000,0.23181513204853677,0.0,0.1820128479657388,0.28051391862955033
drift_anchored,clean_gt,llm,pp_test,recall_benign,6000,-0.06638922972051807,0.0,-0.09406952965235171,-0.04089979550102252
drift_anchored,clean_gt,llm,pp_test,precision_phish,6000,-0.05836245449656739,0.0,-0.0894615543800502,-0.028456343727884952
drift_anchored,clean_gt,llm,pp_test,precision_benign,6000,0.1344711396761396,0.0,0.10401616200299264,0.16416974452331143
drift_anchored,clean_gt,llm,pp_test,accuracy,6000,0.07928172942817294,0.0,0.05125523012552302,0.10774058577405854
drift_anchored,clean_gt,llm,pp_test,auc,6000,0.006154725152498438,0.117,-0.0012699079973550464,0.014858033043881927
drift_anchored,clean_gt,llm,kp_test,f1_weighted,6000,-0.00106654102566926,0.6376666666666667,-0.004967310892965144,0.0027678459535936005
drift_anchored,clean_gt,llm,kp_test,recall_phish,6000,0.0020618811881188137,0.267,-0.0024752475247524774,0.007425742574257432
drift_anchored,clean_gt,llm,kp_test,recall_benign,6000,-0.0036113894455577864,0.133,-0.01002004008016033,0.002004008016032066
drift_anchored,clean_gt,llm,kp_test,precision_phish,6000,-0.004353678892666511,0.22533333333333333,-0.012125041454478533,0.0024474452761511526
drift_anchored,clean_gt,llm,kp_test,precision_benign,6000,0.0015468160148199175,0.5486666666666666,-0.0020331359995451326,0.005823151289346306
drift_anchored,clean_gt,llm,kp_test,accuracy,6000,-0.0010731819859726831,0.45866666666666667,-0.004983388704318914,0.0027685492801771128
drift_anchored,clean_gt,llm,kp_test,auc,6000,-0.00017613300032408156,0.4126666666666667,-0.0006262525050100276,0.00024058017024131684
drift_anchored,clean_gt,llm,dp_probe,f1_weighted,6000,-0.3199316516747927,0.0,-0.3436335962018287,-0.28730420011360647
drift_anchored,clean_gt,llm,dp_probe,recall_phish,6000,0.054194099378881984,0.0,0.02898550724637683,0.08074534161490676
drift_anchored,clean_gt,llm,dp_probe,recall_benign,6000,-0.3214301282051282,0.0,-0.34175824175824177,-0.2943223443223443
drift_anchored,clean_gt,llm,dp_probe,precision_phish,6000,-0.07246201838207862,0.0,-0.08149893140929323,-0.06222876000833858
drift_anchored,clean_gt,llm,dp_probe,precision_benign,6000,0.00947094524834729,0.08833333333333333,-0.0010130721733756897,0.02060529154137652
drift_anchored,clean_gt,llm,dp_probe,accuracy,6000,-0.26496374105197634,0.0,-0.2841581076875194,-0.2396514161220044
drift_anchored,clean_gt,llm,dp_probe,auc,6000,-0.0058044269194113905,0.566,-0.016987966312500602,0.005969340355986357
drift_anchored,clean_gt,random_flip,pp_test,f1_weighted,6000,0.1298152845898331,0.0,0.08600747046047579,0.18703909856383785
drift_anchored,clean_gt,random_flip,pp_test,recall_phish,6000,0.1983515346181299,0.0,0.12205567451820132,0.316916488222698
