run_id,strategy,oracle,round,kp_f1w,kp_recall_phish
drift_anchored_B_seed2027,drift_anchored,llm,10,0.9844904674024998,0.978960396039604
drift_anchored_B_seed2027,drift_anchored,llm,11,0.9844904674024998,0.978960396039604
drift_anchored_B_seed2027,drift_anchored,llm,12,0.9844904674024998,0.978960396039604
drift_anchored_B_seed2027,drift_anchored,llm,13,0.9850434369321122,0.978960396039604
drift_anchored_B_seed2027,drift_anchored,llm,14,0.9844904674024998,0.978960396039604
drift_anchored_B_seed2027,drift_anchored,llm,15,0.983933488407185,0.9764851485148516
drift_anchored_B_seed2027,drift_anchored,llm,16,0.9833783919834148,0.9752475247524752
drift_anchored_B_seed2027,drift_anchored,llm,17,0.9822725748978068,0.9752475247524752
drift_anchored_B_seed2027,drift_anchored,llm,18,0.9822725748978068,0.9752475247524752
drift_anchored_B_seed2027,drift_anchored,llm,19,0.9822725748978068,0.9752475247524752
drift_anchored_B_seed2027,drift_anchored,llm,20,0.9822725748978068,0.9752475247524752
drift_anchored_B_seed2027,drift_anchored,llm,21,0.9817197562503592,0.9752475247524752
drift_anchored_B_seed2027,drift_anchored,llm,22,0.9817197562503592,0.9752475247524752
drift_anchored_B_seed2027,drift_anchored,llm,23,0.9817197562503592,0.9752475247524752
drift_anchored_B_seed2027,drift_anchored,llm,24,0.9817197562503592,0.9752475247524752
drift_anchored_B_seed2027,drift_anchored,llm,25,0.9822748198885712,0.9764851485148516
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,0,0.9806166750190743,0.9764851485148516
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,1,0.9789565199495748,0.9752475247524752
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,2,0.979509056448736,0.9752475247524752
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,3,0.9806166750190743,0.9764851485148516
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,4,0.9795065388336702,0.974009900990099
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,5,0.9784014378783974,0.974009900990099
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,6,0.9784014378783974,0.974009900990099
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,7,0.9783987841760308,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,8,0.9772938193080588,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,9,0.9783987841760308,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,10,0.9783987841760308,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,11,0.9783987841760308,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,12,0.977846274755502,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,13,0.977846274755502,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,14,0.977846274755502,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,15,0.977846274755502,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,16,0.977846274755502,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,17,0.9772938193080588,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,18,0.9772938193080588,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,19,0.9783987841760308,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,20,0.9772938193080588,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,21,0.9772938193080588,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,22,0.9772938193080588,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,23,0.9772938193080588,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,24,0.977846274755502,0.9727722772277227
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,25,0.977846274755502,0.9727722772277227
drift_anchored_llm_periodic_temporal,drift_anchored,llm,0,0.9806166750190743,0.9764851485148516
drift_anchored_llm_periodic_temporal,drift_anchored,llm,1,0.9806166750190743,0.9764851485148516
drift_anchored_llm_periodic_temporal,drift_anchored,llm,2,0.9800616472799516,0.9752475247524752
drift_anchored_llm_periodic_temporal,drift_anchored,llm,3,0.9795065388336702,0.974009900990099
drift_anchored_llm_periodic_temporal,drift_anchored,llm,4,0.9795065388336702,0.974009900990099
drift_anchored_llm_periodic_temporal,drift_anchored,llm,5,0.9806142934913096,0.9752475247524752
